DIVERTER WHEEL,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
ITEM CODE,DIA,WIDTH,NO.OF GROOVES,ROPE DIAMETER,PITCH,"BEARING
(MAKE-FAG)",Material ,Shaft Diameter,RATED LOAD,,,,,SHAFT DETAILS,,
,,,,,,,,,,,,,,SHAFT OUTER DIAMETER,SHAFT GROOVE DISTANCE,SHAFT LENGTH
,"A
(mm)","L
(mm)",N,"RD
(mm)","P
(mm)",,,"ØB
(mm)",kg,,,,,,,
,,,,,,,,,,,,,,ØB,J,K
  BM-320_120_07G_10B,320,120,7,10,16,6212ZZ,FG 260,Ø60,5700,,,,,,,
  BM-320_120_06G_13B,320,120,6,13,19,6210ZZ,FG 260,Ø50,3700,,,,,,,
  BM-320_120_06G_13B,320,120,6,13,19,6211ZZ,FG 260,Ø55,4600,,,,,,,
  BM-320_120_06G_13B,320,120,6,13,19,6212ZZ,FG 260,Ø60,5700,,,,,,,
BM-320_140_10G_08B,320,140,10,8,12,6212ZZ,FG 260,Ø60,5700,,,,,,,
*BM-320_140_11G_08B,320,140,11,8,12,6212ZZ,FG 260,Ø60,5700,,,,,,,
*BM-320_140_08G_10B,320,140,8,10,16,6212ZZ,FG 260,Ø60,5700,,,,,,,
  *BM-320_140_07G_13B,320,140,7,13,19,6212ZZ,FG 260,Ø60,5700,,,,,,,
  *BM-320_155_12G_08B,320,155,12,8,12,6212ZZ,FG 260,Ø60,5700,,,,,,,
 *BM-320_151_09G_10B,320,151,9,10,16,6212ZZ,FG 260,Ø60,5700,,,,,,,
  *BM-320_160_08G_13B,320,160,8,13,19,6212ZZ,FG 260,Ø60,5700,,,,,,,
  BM-400_070_04G_08B,400,70,4,8,12,6210ZZ,FG 300,Ø50,3200,,,,,,,
  BM-400_070_05G_08B,400,70,5,8,12,6210ZZ,FG 300,Ø50,3700,,,,,,,
  BM-400_070_03G_10B,400,70,3,10,16,6210ZZ,FG 300,Ø50,3200,,,,,,,
  BM-400_070_04G_10B,400,70,,10,16,6210ZZ,FG 300,Ø50,3700,,,,,,,
  BM-400_070_03G_13B,400,70,3,13,19,6210ZZ,FG 300,Ø50,3700,,,,,,,
  BM-400_083_06G_08B,400,83,6,8,12,6210ZZ,FG 300,Ø50,3700,,,,,,,
  BM-400_083_05G_10B,400,83,5,10,16,6210ZZ,FG 300,Ø50,3700,,,,,,,
  BM-400_083_04G_13B,400,83,4,13,19,6210ZZ,FG 300,Ø50,3700,,,,,,,
BM-400_105_07G_08B,400,105,7,8,12,6210ZZ,FG 300,Ø50,3700,,,,,,,
BM-400_105_07G_08B,400,105,7,8,12,6211ZZ,FG 300,Ø55,4600,,,,,,,
BM-400_105_08G_08B,400,105,8,8,12,6210ZZ,FG 300,Ø50,3700,,,,,,,
BM-400_105_08G_08B,400,105,8,8,12,6211ZZ,FG 300,Ø55,4600,,,,,,,
BM-400_105_06G_10B,400,105,6,10,16,6210ZZ,FG 300,Ø50,3700,,,,,,,
BM-400_105_06G_10B,400,105,6,10,16,6211ZZ,FG 300,Ø55,4600,,,,,,,
BM-400_105_05G_13B,400,105,5,13,19,6210ZZ,FG 300,Ø50,3700,,,,,,,
