Grooves Section,PRODUCT CODE,PCD,NO OF GROOVES,BUSH,TYPE,Outside,Max. Bore,,L,N,M
,,,,,,OD,Metric,Inch,,,
Z,BM-3Z-170-T2FG*,170,3,2012,2,174,50,"2""",40,25.4,-
Z,BM-4Z-170-T2FG*,170,4,2517,2,174,60,"2 ½""",52,44.5,-
,,,,,,,,,,,
Z,BM-2Z-180-T1FG*,180,2,2012,1,184,50,"2""",28,18.2,-
Z,BM-3Z-180-T2FG*,180,3,2012,2,184,50,"2""",40,18.2,-
Z,BM-4Z-180-T2FG*,180,4,2517,2,184,60,"2 ½""",52,15.5,-
Z,BM-5Z-180-T2FG*,180,5,3020,2,184,60,"2 ½""",64,9.2,-
Z,BM-6Z-180-T2FG,180,6,2012,2,184,60,"2 ½""",76,28.2,-
,,,,,,,,,,,
Z,BM-1Z-200-T1FG*,200,1,2012,1,204,50,"2""",16,18.2,-
Z,BM-2Z-200-T8FG*,200,2,2012,8,204,50,"2""",28,18.2,18.2
Z,BM-3Z-200-T2FG,200,3,2012,2,204,50,"2""",40,18.2,-
Z,BM-4Z-200-T2FG*,200,4,2517,2,204,60,"2 ½""",52,15.5,-
Z,BM-5Z-200-T1FG*,200,5,2012,1,204,60,"2 ½""",64,28.2,28.2
Z,BM-6Z-200-T1FG,200,6,2012,1,204,60,"2 ½""",76,28.2,28.2
,,,,,,,,,,,
Z,BM-1Z-250-T8FG*,250,1,2012,8,254,50,"2""",16,18.2,18.2
Z,BM-2Z-250-T4FG*,250,2,2517,4,254,50,"2""",28,5.5,5.5
Z,BM-3Z-250-T5FG,250,3,2012,5,254,50,"2""",40,18.2,18.2
Z,BM-4Z-250-T7FG*,250,4,2517,7,254,60,"2 ½""",52,15.5,15.5
Z,BM-5Z-250-T5FG,250,5,2517,5,254,60,"2 ½""",64,15.5,15.5
Z,BM-6Z-250-T5FG,250,6,2517,5,254,60,"2 ½""",76,15.5,15.5
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
Z,BM-1Z-315-T8FG,315,1,1610,8,319,50,"2""",16,24.6,24.6
Z,BM-2Z-315-T4FG,315,2,2012,4,319,50,"2""",28,18.2,18.2
Z,BM-3Z-315-T8FG,315,3,2517,8,319,60,"2 ½""",40,15.5,15.5
