,“PYB” Poly-V “J”,,,,,,,,,
section,De [mm],Number of grooves,Type,"SER-SIT
Taper bushing","L
[mm]",z [mm],"M
[mm]","U
[mm]",d [mm],"W
J,,20,2,2517,45,7,-,105,-,52
J,,,,,,,,,,
J,» “PYB” Poly-V “J”,,,,,,,,,
J,De [mm],Number of grooves,Type,"SER-SIT
Taper bushing","L
[mm]",z [mm],"M
[mm]","U
[mm]",d [mm],"W
[mm]"
J,132,4,8,1610,26,12.5,90,116,-,13.5
J,,8,8,1610,26,3,90,116,-,23
J,,12,2,2012,32,0.5,-,112,-,32.5
J,,16,2,2012,32,10,-,112,-,42
J,,20,2,2517,45,7,-,112,-,52
J,140,4,8,1610,26,12.5,90,124,-,13.5
J,,8,8,1610,26,3,90,124,-,23
J,,12,7,2517,45,12.5,120,-,-,32.5
J,,16,7,2517,45,3,120,-,-,42
J,,20,2,2517,45,7,-,124,-,52
J,160,4,8,2012,32,18.5,110,144,-,13.5
J,,8,8,2012,32,9,110,144,-,23
J,,12,8,2517,45,12.5,120,140,-,32.5
J,,16,8,2517,45,3,120,140,-,42
J,,20,2,2517,45,7,-,140,-,52
J,180,4,6,2012,32,9.3,110,164,-,13.5
J,,8,6,2012,32,4.5,110,164,-,23
J,,12,6,2517,45,6.3,120,160,-,32.5
J,,16,6,2517,45,1.5,120,160,-,42
J,,20,5,2517,45,3.5,120,160,-,52
J,200,4,6,2012,32,9.3,110,185,-,13.5
J,,8,6,2012,32,4.5,110,185,-,23
J,,12,6,2517,45,6.3,120,180,-,32.5
J,,16,6,2517,45,1.5,120,180,-,42
J,,20,5,2517,45,3.5,120,180,-,52
J,224,4,6,2012,32,9.3,110,208,-,13.5
J,,8,6,2012,32,4.5,110,208,-,23
J,,12,6,2517,45,6.3,120,204,-,32.5
J,,16,6,2517,45,1.5,120,204,-,42
J,,20,5,2517,45,3.5,120,204,-,52
J,250,4,9,2012,32,9.3,110,234,-,13.5
J,,8,9,2012,32,4.5,110,234,-,23
J,,12,6,2517,45,6.3,120,230,-,32.5
J,,16,6,2517,45,1.5,120,230,-,42
J,,20,5,2517,45,3.5,120,230,-,52
J,280,4,9,2012,32,9.3,110,264,-,13.5
J,,8,9,2012,32,4.5,110,264,-,23
J,,12,9,2517,45,6.3,120,260,-,32.5
J,,16,9,2517,45,1.5,120,260,-,42
J,,20,10,2517,45,3.5,120,260,-,52
J,315,4,9,2012,32,9.3,110,299,-,13.5
J,,8,9,2012,32,4.5,110,299,-,23
J,,12,9,2517,45,6.3,120,295,-,32.5
J,,16,9,2517,45,1.5,120,295,-,42
J,,20,10,2517,45,3.5,120,295,-,52
J,355,4,9,2517,45,15.7,120,339,-,13.5
J,,8,9,2517,45,11,120,339,-,23
J,,12,9,2517,45,6.3,120,335,-,32.5
J,,16,9,3020,52,5,146,335,-,42
J,,20,10,3020,52,-,146,335,-,52
J,400,4,9,2517,45,15.8,120,380,-,13.5
J,,8,9,2517,45,11,120,380,-,23
J,,12,9,2517,45,6.3,120,380,-,32.5
J,,16,9,3020,52,5,146,380,-,42
J,,20,10,3020,52,-,146,380,-,52
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,“PYB” Poly-V “K”,,,,,,,,,
Section,De [mm],Number of grooves,Type,"SER-SIT
Taper bushing","L
[mm]",z [mm],"M
[mm]","U
[mm]",d [mm],"W
[mm]"
K,50,4,1,-,32,-,-,-,12,20.5
K,,6,1,-,40,-,-,-,12,28.5
K,,8,1,-,48,-,-,-,12,36
K,,10,1,-,54,-,-,-,12,42
K,,12,1,-,61,-,-,-,12,49
K,56,4,3,1108,20.5,-,-,-,-,20.5
K,,6,1,-,40,-,-,-,12,28.5
K,,8,1,-,48,-,-,-,12,36
K,,10,1,-,54,-,-,-,12,42
K,,12,1,-,61,-,-,-,12,49
K,60,4,3,1108,20.5,-,-,-,-,20.5
K,,6,2,1108,22,6.5,-,45,-,28.5
K,,8,1,-,48,-,-,-,12,36
K,,10,1,-,54,-,-,-,12,42
K,,12,1,-,61,-,-,-,12,49
K,63,4,3,1108,20.5,-,-,-,-,20.5
K,,6,2,1108,22,6.5,-,48,-,28.5
K,,8,1,-,48,-,-,-,12,36
K,,10,1,-,54,-,-,-,12,42
K,,12,1,-,61,-,-,-,12,49
K,67,4,3,1108,20.5,-,-,-,-,20.5
K,,6,2,1108,22,6.5,-,51,-,28.5
K,,8,1,-,48,-,-,-,12,36
K,,10,1,-,54,-,-,-,12,42
K,,12,1,-,61,-,-,-,12,49
K,71,4,3,1108,20.5,-,-,-,-,20.5
K,,6,2,1108,23,6.5,-,55,-,28.5
K,,8,2,1210,26,10,-,55,-,36
K,,10,3,1215,42,-,-,-,-,42
K,,12,2,1215,42,7,-,55,-,49
K,75,4,3,1108,20.5,-,-,-,-,20.5
K,,6,2,1210,26,2.5,-,59,-,28.5
K,,8,2,1210,26,10,-,59,-,36
K,,10,3,1215,42,-,-,-,-,42
K,,12,2,1215,42,7,-,59,-,49
K,80,4,7,1210,26,5.5,70,-,-,20.5
K,,6,2,1210,26,2.5,-,64,-,28.5
K,,8,2,1210,26,10,-,64,-,36
K,,10,3,1215,42,-,-,-,-,42
K,,12,2,1215,42,7,-,64,-,49
K,85,4,7,1210,26,5.5,70,-,-,20.5
K,,6,2,1210,26,2.5,-,69,-,28.5
K,,8,2,1210,26,10,-,69,-,36
K,,10,3,1215,42,-,-,-,-,42
K,,12,2,1215,42,7,-,69,-,49
K,90,4,7,1210,26,5.5,82,-,-,20.5
K,,6,2,1210,26,2.5,-,74,-,28.5
K,,8,2,1210,26,10,-,74,-,36
K,,10,3,1215,42,-,-,-,-,42
K,,12,2,1215,42,7,-,74,-,49
K,95,4,7,1610,26,5.5,90,-,-,20.5
K,,6,2,1610,26,2.5,-,79,-,28.5
K,,8,2,1610,26,10,-,79,-,36
K,,10,3,1615,42,-,-,-,-,42
K,,12,2,1615,42,7,-,79,-,49
K,100,4,7,1610,26,5.5,90,-,-,20.5
K,,6,2,1610,26,2.5,-,82,-,28.5
K,,8,2,1610,26,10,-,82,-,36
K,,10,3,1615,42,-,-,-,-,42
K,,12,2,1615,42,7,-,82,-,49
K,,,,,,,,,,
K,» “PYB” Poly-V “K”,,,,,,,,,
K,De [mm],Number of grooves,Type,"SER-SIT
Taper bushing","L
[mm]",z [mm],"M
[mm]","U
[mm]",d [mm],"W
[mm]"
K,106,4,7,1610,26,5.5,90,-,-,20.5
K,,6,2,1610,26,2.5,-,88,-,28.5
K,,8,2,1610,26,10,-,88,-,36
K,,10,3,1615,42,-,-,-,-,42
K,,12,2,1615,42,7,-,88,-,49
K,112,4,7,1610,26,5.5,90,-,-,20.5
K,,6,2,1610,26,2.5,-,94,-,28.5
K,,8,2,1610,26,10,-,94,-,36
K,,10,3,1615,42,-,-,-,-,42
K,,12,2,1615,42,7,-,94,-,49
K,118,4,7,1610,26,5.5,90,-,-,20.5
K,,6,7,2012,32,3.5,110,-,-,28.5
K,,8,2,2012,32,4,-,98,-,36
K,,10,2,2012,32,10,-,98,-,42
K,,12,2,2012,32,17,-,98,-,49
K,125,4,8,1610,26,5.5,90,109,-,20.5
K,,6,7,2012,32,3.5,110,-,-,28.5
K,,8,2,2012,32,4,-,105,-,36
K,,10,2,2012,32,10,-,105,-,42
K,,12,2,2517,45,4,-,105,-,49
K,132,4,8,1610,26,5.5,90,116,-,20.5
K,,6,7,2012,32,3.5,110,-,-,28.5
K,,8,2,2012,32,4,-,112,-,36
K,,10,2,2012,32,10,-,112,-,42
K,,12,2,2517,45,4,-,112,-,49
K,140,4,8,1610,26,5.5,90,124,-,20.5
K,,6,7,2517,45,16.5,120,-,-,28.5
K,,8,7,2517,45,9,120,-,-,36
K,,10,7,2517,45,3,120,-,-,42
K,,12,2,2517,45,4,-,124,-,49
K,150,4,8,1610,26,5.5,90,134,-,20.5
K,,6,7,2517,45,16.5,120,-,-,28.5
K,,8,7,2517,45,9,120,-,-,36
K,,10,7,2517,45,3,120,-,-,42
K,,12,2,2517,45,4,-,130,-,49
K,160,4,8,2012,32,11.5,110,144,-,20.5
K,,6,8,2517,45,16.5,120,140,-,28.5
K,,8,8,2517,45,9,120,140,-,36
K,,10,8,2517,45,3,120,140,-,42
K,,12,2,2517,45,4,-,140,-,49
K,170,4,8,2012,32,11.5,110,154,-,20.5
K,,6,8,2517,45,16.5,120,150,-,28.5
K,,8,8,2517,45,9,120,150,-,36
K,,10,7,2517,45,3,120,150,-,42
K,,12,2,2517,45,4,-,150,-,49
K,180,4,6,2012,32,5.75,110,164,-,20.5
K,,6,6,2517,45,8.25,120,160,-,28.5
K,,8,6,2517,45,4.5,120,160,-,36
K,,10,6,2517,45,1.5,120,160,-,42
K,,12,5,2517,45,2,120,160,-,49
K,190,4,6,2012,32,5.75,110,174,-,20.5
K,,6,6,2517,45,8.25,120,170,-,28.5
K,,8,6,2517,45,4.5,120,170,-,36
K,,10,6,2517,45,1.5,120,170,-,42
K,,12,5,2517,45,2,120,170,-,49
K,200,4,6,2012,32,5.75,110,184,-,20.5
K,,6,6,2517,45,8.25,120,180,-,28.5
K,,8,6,2517,45,4.5,120,180,-,36
K,,10,6,2517,45,1.5,120,180,-,42
