5MM PITCH HIGH TORQUE PULLEYS (15MM WIDE BELTS),,,,,,,,,,,,,,,,,,,
Pulley Designation,Pitch,Belt Width,No. of Teeth,Pulley Type,Bush No.,Max Bore,,Pitch Dia,Outside Dia,A,F,J,K,L,M,N,,,
,,,,,,Metric,Inch,,,,,,,,,,,,
Pulley Designation,Pitch,Belt Width,No. of Teeth,Pulley Type,Bush No.,Max Bore,,Pitch Dia,Outside Dia,A,F,J,K,L,M,N,,,
,,,,,,Metric,Inch,,,,,,,,,,,,
28-08-1950,8,50,28,4F,1210,32,1 1/4,71.30,70.08,79,57,55,32,25,0,-,,,
30-08-1950,8,50,30,4F,1610,42,1 5/8,76.39,75.13,86,57,57,19,38,0,-,,,
32-8-50,8,50,32,4F,1610,42,1 5/8,81.49,80.16,90,57,60,19,38,0,-,,,
34-8-50,8,50,34,4F,1610,42,1 5/8,86.58,85.22,95,57,62,19,38,0,-,,,
36-8-50,8,50,36,4F,1610,42,1 5/8,91.67,90.3,98,57,65,19,38,0,-,,,
38-8-50,8,50,38,5F,1610,42,1 5/8,96.77,95.39,106,57,68,0,38,19,-,,,
40-8-50,8,50,40,4F,2012,50,2,101.86,100.49,111,57,75,25,32,0,-,,,
44-8-50,8,50,44,5F,2012,50,2,112.05,110.67,119,57,86,0,32,25,-,,,
48-8-50,8,50,48,5F,2012,50,2,122.23,120.86,135,57,97,0,32,25,-,,,
56-8-50,8,50,56,5F,2517,60,2 1/2,142.6,141.23,151,57,114,0,45,12,-,,,
64-8-50,8,50,64,5F,2517,60,2 1/2,162.97,161.6,168,57,130,0,45,12,-,,,
72-8-50,8,50,72,5,2517,60,2 1/2,183.35,181.97,-,57,152,0,45,12,-,,,
80-8-50,8,50,80,5,3020,75,3,203.72,202.35,-,57,172,0,45,6,-,,,
90-8-50,8,50,90,7,3020,75,3,229.18,227.81,-,57,197,3,51,3,150,,,
112-8-50,8,50,112,8,3020,75,3,285.21,283.83,-,57,253,3,51,3,150,,,
144-8-50,8,50,144,8,3020,75,3,366.69,365.32,-,57,335,3,51,3,150,,,
168-8-50,8,50,168,10,3525,100,4,427.81,426.44,-,57,396,2,65,4,198,,,
192-8-50,8,50,192,10,3525,100,4,488.92,487.55,-,57,457,2,65,4,198,,,
,,,,,,,,,,,,,,,,,,,
8MM PITCH HIGH TORQUE PULLEYS (85MM WIDE BELTS),,,,,,,,,,,,,,,,,,,
Pulley Designation,Pitch,Belt Width,No. of Teeth,Pulley Type,Bush No.,Max Bore,,Pitch Dia,Outside Dia,A,F,J,K,L,M,N,,,
,,,,,,Metric,Inch,,,,,,,,,,,,
34-8-85,8,85,34,4F,1615,42,1 5/8,86.58,85.22,95,94,64,56,38,0,-,,,
36-8-85,8,85,36,4F,1615,42,1 5/8,91.67,90.3,98,94,65,56,38,0,-,,,
38-8-85,8,85,38,4F,2012,50,1 5/8,96.77,95.39,106,94,65,56,38,0,-,,,
40-8-85,8,85,40,4F,2012,50,2,101.86,100.49,111,94,78,62,32,0,-,,,
44-8-85,8,85,44,4F,2517,60,2,112.05,110.67,119,94,85,62,32,0,-,,,
48-8-85,8,85,48,4F,2517,60,2 1/2,122.23,120.86,135,94,96,49,45,0,-,,,
56-8-85,8,85,56,6F,2517,60,2 1/2,142.6,141.23,151,94,111,24.5,45,24.5,-,,,
64-8-85,8,85,64,6F,2517,60,3,162.97,161.6,168,94,131,24.5,45,24.5,-,,,
72-8-85,8,85,72,6F,3020,75,3,183.35,181.97,-,94,152,21.5,51,21.5,-,,,
80-8-85,8,85,80,6F,3020,75,3,203.72,202.35,-,94,172,21.5,51,21.5,-,,,
90-8-85,8,85,90,7,3020,75,3,229.18,227.81,-,94,197,21.5,51,21.5,-,,,
112-8-85,8,85,112,7,3020,75,3,285.21,283.83,-,94,253,21.5,51,21.5,150,,,
144-8-85,8,85,144,8,3525,100,4,366.69,365.32,-,94,335,14.5,65,14.5,198,,,
168-8-85,8,85,168,8,3525,100,4,427.81,426.44,-,94,396,14.5,65,14.5,198,,,
